0,1,2,3,RealTimeThroughput
1600,1600,1600,1600,6400
1500,1500,1500,1500,6000
1500,1500,1500,1500,6000
1500,1500,1500,1500,6000
1500,1500,1600,1500,6100
1500,1500,1500,1500,6000
1500,1500,1500,1600,6100
1500,1600,1500,1500,6100
1500,1500,1500,1500,6000
1600,1500,1500,1500,6100
1500,1500,1500,1500,6000
1400,1500,1500,1500,5900
1500,1500,1500,1500,6000
1500,1400,1500,1500,5900
1500,1500,1400,1400,5800
1400,1500,1500,1500,5900
1600,1500,1500,1500,6100
1500,1500,1500,1500,6000
1500,1500,1500,1500,6000
1400,1400,1500,1500,5800
1600,1600,1500,1500,6200
1400,1500,1500,1500,5900
1500,1500,1500,1500,6000
1500,1400,1500,1500,5900
1500,1500,1500,1500,6000
1500,1600,1500,1500,6100
1500,1400,1500,1500,5900
1500,1500,1500,1500,6000
1500,1500,1500,1400,5900
1500,1500,1500,1600,6100
1500,1500,1500,1500,6000
1500,1600,1500,1500,6100
1500,1500,1500,1500,6000
1500,1500,1500,1500,6000
1500,1500,1500,1500,6000
1500,1500,1500,1500,6000
1600,1500,1500,1500,6100
1500,1500,1500,1500,6000
1500,1500,1600,1600,6200
1500,1600,1500,1500,6100
1500,1500,1500,1500,6000
1600,1500,1500,1500,6100
1500,1500,1600,1500,6100
1500,1500,1500,1500,6000
1500,1500,1500,1500,6000
1500,1500,1500,1600,6100
1500,1500,1500,1400,5900
1500,1500,1500,1500,6000
1500,1500,1500,1600,6100
1500,1500,1500,1500,6000
1500,1500,1500,1500,6000
1500,1600,1500,1500,6100
1500,1500,1500,1500,6000
1500,1400,1500,1500,5900
1500,1500,1500,1500,6000
1500,1500,1500,1400,5900
1500,1500,1500,1500,6000
1500,1500,1500,1500,6000
1500,1500,1500,1500,6000
1500,1500,1500,1600,6100
1500,1600,1500,1500,6100
1600,1400,1500,1500,6000
1400,1600,1500,1500,6000
1600,1500,1500,1500,6100
1500,1500,1500,1500,6000
1500,1500,1500,1600,6100
1500,1500,1500,1400,5900
1500,1500,1500,1500,6000
3600,3500,3600,3600,14300
3900,3900,3800,3800,15400
3600,3588,3675,3707,14570
3500,3513,3525,3494,14032
3800,3819,3700,3700,15019
3650,3700,3682,3719,14751
3513,3232,3682,3469,13896
3463,3432,3482,3569,13946
3575,3713,3575,3538,14401
3594,3513,3632,3300,14039
3563,3607,3469,3688,14327
3244,3575,3219,3244,13282
3300,3238,3325,3513,13376
3244,3269,3288,3219,13020
3363,3319,3344,3407,13433
3350,3363,3369,3382,13464
3275,3457,3363,3375,13470
3588,3444,3369,3332,13733
3344,3338,3400,3263,13345
3382,3388,3407,3225,13402
3275,3282,3307,3313,13177
3325,3219,3357,3444,13345
3269,3382,3244,3275,13170
3494,3407,3450,3307,13658
3269,3282,3263,3157,12971
3238,3288,3288,3369,13183
3244,3213,3257,3563,13277
3244,3282,3225,3288,13039
3244,3113,3213,3219,12789
3238,3413,3232,3225,13108
3438,3382,3382,3382,13584
3244,3219,3213,3294,12970
3300,3288,3294,3175,13057
3332,3363,3375,3375,13445
3294,3250,3338,3363,13245
3194,3232,3219,3219,12864
3244,3232,3269,3263,13008
3263,3263,3250,3263,13039
3313,3275,3269,3194,13051
3300,3213,3294,3188,12995
3269,3282,3338,3163,13052
3288,3463,3269,3213,13233
3263,3219,3263,3232,12977
3313,3225,3263,3125,12926
3182,3275,3219,3300,12976
3344,3350,3282,3363,13339
3350,3213,3375,3438,13376
3250,3182,3225,3157,12814
3282,3238,3350,2881,12751
3269,3519,3232,3238,13258
3444,3375,3375,3225,13419
3257,3288,3382,2979,12906
3282,3319,3257,3049,12907
3288,3250,3294,3047,12879
3325,3325,3325,3257,13232
3213,3238,3263,2981,12695
3394,3344,3263,3000,13001
3332,3213,3250,3263,13058
3325,3319,3400,3102,13146
3257,3238,3288,2512,12295
3332,3269,3307,2362,12270
3257,3463,3394,3143,13257
3288,3338,3250,3218,13094
3050,3019,3007,3143,12219
2694,2706,2738,3288,11426
2775,2781,2775,3209,11540
2700,2719,2706,3142,11267
2719,2688,2706,3274,11387
2656,2644,2656,3028,10984
2756,2781,2756,3065,11358
2856,2869,2869,3254,11848
2925,2925,2869,3157,11876
3063,3069,3088,2924,12144
3144,3138,3169,3074,12525
3125,3125,3119,3047,12416
3082,3088,3107,3219,12496
2981,2969,2975,3019,11944
3044,3056,3031,3138,12269
3075,3100,3088,3019,12282
3056,3032,3013,3069,12170
2956,2988,2988,3138,12070
2975,2963,2975,2875,11788
3100,3082,3138,3057,12377
3119,3119,3094,3313,12645
3144,3157,3125,3157,12583
2975,2963,2975,3058,11971
3044,3038,3044,3099,12225
3000,3006,2994,3088,12088
3013,3019,3025,3107,12164
2994,2981,2969,3040,11984
3013,3031,3050,2993,12087
3032,3000,2994,2987,12013
2975,2994,2981,2994,11944
3025,3013,3063,3073,12174
3119,3194,3144,3259,12716
3175,3113,3119,3225,12632
3069,3063,3113,3050,12295
3000,3019,2994,3030,12043
3019,3025,3013,3037,12094
3025,3044,3057,3128,12254
3044,3032,3000,3170,12246
2969,2938,3000,3043,11950
3075,3057,3000,3168,12300
3044,3069,3063,2899,12075
3113,3094,3119,3265,12591
3075,3113,3094,3188,12470
2994,2969,2988,2981,11932
2994,3006,3006,2957,11963
3056,3044,3038,3169,12307
2944,2925,2950,2969,11788
2875,2888,2875,2875,11513
3013,3000,2975,3000,11988
2956,2981,2969,2963,11869
3094,3088,3119,3075,12376
3013,3006,3013,2994,12026
3038,3025,3019,3075,12157
2900,2913,2913,2906,11632
3050,3057,3082,3069,12258
3007,3025,3006,2981,12019
2956,2900,2900,2950,11706
2869,2913,2894,2881,11557
2975,2975,2950,2956,11856
3019,2994,3038,2988,12039
2875,2900,2919,2931,11625
2963,2956,2931,2975,11825
3006,3000,2994,2975,11975
2981,2988,2969,2988,11926
3044,3006,3031,3019,12100
3038,3050,3063,3057,12208
2975,3019,3006,3013,12013
3038,3025,3031,2975,12069
2994,2994,3000,3063,12051
2931,2900,2906,2906,11643
2988,2981,2919,2950,11838
3063,3082,3150,3082,12377
3113,3132,3088,3157,12490
2938,2950,2950,2906,11744
2888,2838,2856,2888,11470
2988,2994,2975,2963,11920
2750,2813,2800,2825,11188
