replication_factor,throughput,msg_size,media
1,7388.77,4096,tmpfs
1,6051.5,4096,tmpfs
1,6132.47,4096,tmpfs
1,7611.28,4096,tmpfs
1,6219.75,4096,tmpfs
1,6587.81,4096,tmpfs
1,6906.48,4096,disk
1,5947.28,4096,disk
1,6265.45,4096,disk
1,7658.86,4096,memory
1,7819.98,4096,memory
1,7603.68,4096,memory
2,4945.36,4096,disk
2,4867.59,4096,disk
2,5003,4096,disk
2,5049;98,4096,memory
2,5051.49,4096,memory
2,7084,4096,memory
3,3987.53,4096,disk
3,4040.09,4096,disk
3,3919.53,4096,disk
3,4492,4096,memory
3,5183,4096,memory
3,4862.61,4096,memory
4,3457,4096,disk
4,3345,4096,disk
4,3171,4096,disk
4,3969,4096,memory
4,3820,4096,memory
4,3748,4096,memory
