mode,trial,sequencer,order,ack,rf,record_count,operation_count,value_size,workload,key_dist,zipf_theta,scan_len,batch_size,write_ratio,sync_interval,sync_barrier,runtime_sec,throughput_ops_sec,write_throughput_ops_sec,writes,reads,scans,rmws,publisher_batches,ops_per_publisher_batch,store_size,published_entries,applied_entries,valid,pub_p50_us,pub_p95_us,pub_p99_us,pub_p999_us,apply_p50_us,apply_p95_us,apply_p99_us,apply_p999_us,read_p50_us,read_p99_us,pub_threads,num_brokers,fifo_valid,fifo_mode,overwritten_keys,final_mismatch_keys,untouched_mismatch_keys,session_reorders,key_reorders,failed_checks,key_offset,state_digest
pipe,1,CORFU,2,1,1,500000,500000,100,,uniform,0.99,100,1,1,0,apply,0.770157,649219,649219,500000,0,0,0,1922,260.15,500000,1050000,1050000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,token_order,316109,0,0,0,0,none,0,1d3bc69f5cdeb2f0
pipe,2,CORFU,2,1,1,500000,500000,100,,uniform,0.99,100,1,1,0,apply,0.785134,636834,636834,500000,0,0,0,1931,258.93,500000,1050000,1050000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,token_order,316109,0,0,0,0,none,0,1d3bc69f5cdeb2f0
pipe,3,CORFU,2,1,1,500000,500000,100,,uniform,0.99,100,1,1,0,apply,0.770328,649074,649074,500000,0,0,0,1823,274.27,500000,1050000,1050000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,token_order,316109,0,0,0,0,none,0,1d3bc69f5cdeb2f0
serialize,1,CORFU,2,1,1,500000,20000,100,,uniform,0.99,100,1,1,1,ack,10.276254,1946,1946,20000,0,0,0,20000,1.00,500000,570000,570000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,stop_and_wait,19612,0,0,0,0,none,0,6659c5482d33ffb0
serialize,2,CORFU,2,1,1,500000,20000,100,,uniform,0.99,100,1,1,1,ack,10.916628,1832,1832,20000,0,0,0,20000,1.00,500000,570000,570000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,stop_and_wait,19612,0,0,0,0,none,0,6659c5482d33ffb0
serialize,3,CORFU,2,1,1,500000,20000,100,,uniform,0.99,100,1,1,1,ack,10.306052,1941,1941,20000,0,0,0,20000,1.00,500000,570000,570000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,stop_and_wait,19612,0,0,0,0,none,0,6659c5482d33ffb0
pipe,1,EMBARCADERO,5,1,1,500000,500000,100,,uniform,0.99,100,1,1,0,apply,0.725571,689113,689113,500000,0,0,0,1814,275.63,500000,1050000,1050000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,native,316109,0,0,0,0,none,0,1d3bc69f5cdeb2f0
pipe,2,EMBARCADERO,5,1,1,500000,500000,100,,uniform,0.99,100,1,1,0,apply,0.841759,593995,593995,500000,0,0,0,1979,252.65,500000,1050000,1050000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,native,316109,0,0,0,0,none,0,1d3bc69f5cdeb2f0
pipe,3,EMBARCADERO,5,1,1,500000,500000,100,,uniform,0.99,100,1,1,0,apply,0.763053,655262,655262,500000,0,0,0,1899,263.30,500000,1050000,1050000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,native,316109,0,0,0,0,none,0,1d3bc69f5cdeb2f0
serialize,1,EMBARCADERO,5,1,1,500000,20000,100,,uniform,0.99,100,1,1,1,ack,10.000049,2000,2000,20000,0,0,0,20000,1.00,500000,570000,570000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,stop_and_wait,19612,0,0,0,0,none,0,6659c5482d33ffb0
serialize,2,EMBARCADERO,5,1,1,500000,20000,100,,uniform,0.99,100,1,1,1,ack,9.999895,2000,2000,20000,0,0,0,20000,1.00,500000,570000,570000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,stop_and_wait,19612,0,0,0,0,none,0,6659c5482d33ffb0
serialize,3,EMBARCADERO,5,1,1,500000,20000,100,,uniform,0.99,100,1,1,1,ack,9.999711,2000,2000,20000,0,0,0,20000,1.00,500000,570000,570000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,stop_and_wait,19612,0,0,0,0,none,0,6659c5482d33ffb0
pipe,1,SCALOG,1,1,1,500000,500000,100,,uniform,0.99,100,1,1,0,apply,0.798159,626442,626442,500000,0,0,0,1969,253.94,500000,1050000,1050000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,none,316109,4,0,9645,4,session_fifo_apply_order+session_fifo_final_value,0,883c91a2053139f2
pipe,2,SCALOG,1,1,1,500000,500000,100,,uniform,0.99,100,1,1,0,apply,0.808811,618192,618192,500000,0,0,0,1933,258.67,500000,1050000,1050000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,none,316109,16,0,14764,21,session_fifo_apply_order+session_fifo_final_value,0,83d7a6cd2cbabe68
pipe,3,SCALOG,1,1,1,500000,500000,100,,uniform,0.99,100,1,1,0,apply,0.760478,657481,657481,500000,0,0,0,1867,267.81,500000,1050000,1050000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,none,316109,6,0,13719,7,session_fifo_apply_order+session_fifo_final_value,0,1b84091fadd984db
serialize,1,SCALOG,1,1,1,500000,20000,100,,uniform,0.99,100,1,1,1,ack,11.437580,1749,1749,20000,0,0,0,20000,1.00,500000,570000,570000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,stop_and_wait,19612,0,0,0,0,none,0,6659c5482d33ffb0
serialize,2,SCALOG,1,1,1,500000,20000,100,,uniform,0.99,100,1,1,1,ack,11.121285,1798,1798,20000,0,0,0,20000,1.00,500000,570000,570000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,stop_and_wait,19612,0,0,0,0,none,0,6659c5482d33ffb0
serialize,3,SCALOG,1,1,1,500000,20000,100,,uniform,0.99,100,1,1,1,ack,11.064373,1808,1808,20000,0,0,0,20000,1.00,500000,570000,570000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,stop_and_wait,19612,0,0,0,0,none,0,6659c5482d33ffb0
