msg_size,publish,subscribe,E2E
128,2402.36,8105.78,2560
128,2247.71,7636.21,2560
128,2087.82,6829.3,2560
128,3467.73,9208.94,2560
128,2472.2,7030.34,2560
128,2322.89,12481.4,2560
128,2338.53,7356.12,2560
128,1949.89,8532.37,2560
128,2541.13,8506.87,2560
128,2387.69,8222.66,2560
512,8441.24,8653.38,10240
512,8193.72,11635.9,10240
512,8423.13,7266.24,10240
512,8671.62,11042.2,10240
512,8351.91,11138.8,10240
512,8168.5,11260.3,10240
512,8662.14,11400.9,10240
512,8408.79,10168.9,10240
512,8527.95,11185.8,10240
512,8943.08,10133.4,10240
1024,10011.8,9735.48,10240
1024,10023.5,8837.13,10240
1024,9857.85,11884.4,10240
1024,9516.16,11500.4,10240
1024,9681.88,9647.48,10240
1024,9974.32,9841.77,10240
1024,9917.2,8835.96,10240
1024,10201.5,11402.1,10240
1024,10060.9,10963.8,10240
1024,10057.1,8528.05,10240
4096,12102.2,11599.5,10240
4096,12467.1,10546.1,10240
4096,13304,9549.25,10240
4096,12154.6,8280.3,10240
4096,12854.1,12683.8,10240
4096,10971.4,11944.3,10240
4096,12176.3,15215.3,10240
4096,11678.9,10391.1,10240
4096,11925.9,12088,10240
4096,13143.7,12678.7,10240
65536,12857.4,11143.5,10240
65536,12835.2,10384.2,10240
65536,12830,9812.43,10240
65536,12651.4,10328.3,10240
65536,12698,13916.3,10240
65536,12871.7,10978.6,10240
65536,12840.9,10781.4,10240
65536,12292.2,11996.4,10240
65536,12493.9,10590.1,10240
65536,12846.6,9111.39,10240
1048576,12632.7,11672.3,10240
1048576,13311.4,12410.8,10240
1048576,12826.1,11124,10240
1048576,13172.4,11219.1,10240
1048576,13471.6,11065.7,10240
1048576,13106.1,9310.81,10240
1048576,13584.2,12903.4,10240
1048576,12894.6,11829.7,10240
1048576,12541.6,13265.5,10240
1048576,13037.5,8997.13,10240
