Sequencer,NumThreads,Throughput,Msg_size
Kafka,2,3112,128
Kafka,2,2992.28,128
Kafka,2,2903,128
Kafka,4,2773,128
Kafka,4,2874.7,128
Kafka,4,2828.21,128
Kafka,6,2278.7,128
Kafka,6,2331,128
Kafka,6,2221.69,128
Kafka,8,2502.78,128
Kafka,8,2348.47,128
Kafka,8,2081.64,128
Kafka,10,2560.95,128
Kafka,10,2443.9610,,128
Kafka,10,2078.02,128
Kafka,12,3213.43,128
Kafka,12,2466.02,128
Kafka,12,2733.84,128
Kafka,14,1955.71,128
Kafka,14,2819.89,128
Kafka,14,2388.3,128
Kafka,16,2203.78,128
Kafka,16,2456.08,128
Kafka,16,2491.83,128
Embarcadero,10,i2357.37,128
Embarcadero,10,2869.53,128
Embarcadero,10,3246.49,128
Embarcadero,12,2531.91,128
Embarcadero,12,3074.67,128
Embarcadero,12,2914.79,128
Embarcadero,14,2227.91,128
Embarcadero,14,2583.12,128
Embarcadero,14,2315.96,128
Embarcadero,16,2751.69,128
Embarcadero,16,2751.69,128
Embarcadero,16,2466.44,128
Embarcadero,4,,512
Embarcadero,4,,512
Embarcadero,4,,512
Embarcadero,6,7065.16,512
Embarcadero,6,7269.54,512
Embarcadero,6,6972.54,512
Embarcadero,8,8188.64,512
Embarcadero,8,7732.14,512
Embarcadero,8,8696.18,512
Embarcadero,10,8890.73,512
Embarcadero,10,9533.95,512
Embarcadero,10,8830.88,512
Embarcadero,20,8317.23,512
Embarcadero,20,9045.71,512
Embarcadero,20,8396.91,512
Kafka,4,,512
Kafka,4,,512
Kafka,4,,512
Kafka,6,7135.42,512
Kafka,6,7435.96,512
Kafka,6,8383.4,512
Kafka,8,8681.77,512
Kafka,8,8516.08,512
Kafka,8,8243.02,512
Kafka,10,8976.14,512
Kafka,10,7848.17,512
Kafka,10,9402.25,512
Kafka,12,8796.64,512
Kafka,12,8550.94,512
Kafka,12,8699.89,512
Kafka,14,8342.72,512
Kafka,14,8678.43,512
Kafka,14,8291.54,512
Kafka,16,7821.1,512
Kafka,16,8529.7,512
Kafka,16,8029.12,512
Kafka,18,8575.07,512
Kafka,18,8163.43,512
Kafka,18,8607.18,512
Kafka,20,8672.87,512
Kafka,20,8521.58,512
Kafka,20,8687.56,512
Kafka,22,,512
