publish,subscribe,E2E,msg_size
60.1725,19.4,53.4943,128
54.5645,19.7372,54.1438,128
55.8237,20.0628,50.582,128
58.9999,20.0645,61.0404,128
49.7509,19.8412,56.9476,128
53.2512,21.0309,55.8714,128
49.8415,19.3147,52.1791,128
52.89,19.7357,54.1904,128
48.8131,21.0708,53.3916,128
55.7097,20.2743,52.8941,128
220.956,97.4434,223.994,512
218.47,95.7094,205.82,512
197.229,95.1953,203.561,512
222.976,105.147,200.084,512
191.96,81.5317,220.494,512
223.275,80.9204,186.209,512
222.753,98.1876,184.521,512
189.465,100.228,219.566,512
203.217,96.532,219.713,512
200.148,80.3457,186.375,512
376.625,351.597,441.331,1024
403.044,247.866,441.252,1024
356.734,224.551,416.219,1024
332.833,254.994,436.347,1024
417.798,418.635,386.431,1024
347.273,225.975,402.322,1024
375.511,225.825,362.661,1024
413.785,298.398,378.928,1024
384.244,385.901,406.527,1024
390.139,432.838,373.956,1024
1318.47,1442.41,1254.16,4096
1548.4,1674.26,1381.44,4096
1192.71,1410.94,1360.96,4096
1344.66,1445.61,1474.04,4096
1610.83,1458.3,1534.21,4096
1347.56,1439.64,1292.62,4096
1483.98,1438.51,1474.44,4096
1220.28,1414.62,1476.36,4096
1472.47,1439.61,1324.44,4096
1209.46,1717.18,1492.54,4096
2426.35,1619.97,2089.64,65536
2328.92,1426.52,2594.26,65536
2212.23,1467.5,2220.41,65536
2323.85,1262.97,2077.05,65536
2370.19,1473.82,2258.5,65536
1686.81,1241.34,2478.26,65536
2494.98,1473.22,2108.64,65536
1778.06,1619.1,2450.57,65536
2453.59,1435.84,2401.42,65536
2426.37,1438.95,2706.83,65536
2188.63,1446.33,2221.28,1048576
2125.59,1659.39,2244.54,1048576
1660.94,1694.48,2559.7,1048576
1771.75,1408.58,2435.82,1048576
1767.84,1382.98,2275.3,1048576
2750.73,1704.82,2308.62,1048576
1806.73,1411.88,2010.73,1048576
2195.5,1501.74,2062.08,1048576
2508.8,1303.33,2266.48,1048576
2514.92,1465.32,2161.4,1048576
