message_size,system,order,sequencer,num_clients,client_layout,replication_factor,run_idx,status,throughput_gbps,throughput_overlap_gbps,overlap_window_ms,timeseries_clients,attempts_used,first_attempt_pass,artifact_dir,commit
128,embarcadero,5,EMBARCADERO,1,"c4(numa1)",1,1,ok,0.580937,0.064976554,94478,1,1,1,/home/domin/Embarcadero-sessions/eval-matrix/data/publication/throughput/20260708_e1_leg4_order5_cxl/embarcadero_order5_rf1_n1/run_20260708T132500Z_msg128/trial_1,0528d4e938b9ae9638944b2d3eeed9c79e3c22cb
128,embarcadero,5,EMBARCADERO,1,"c4(numa1)",1,2,ok,0.566094,0.070493650,96281,1,1,1,/home/domin/Embarcadero-sessions/eval-matrix/data/publication/throughput/20260708_e1_leg4_order5_cxl/embarcadero_order5_rf1_n1/run_20260708T132500Z_msg128/trial_2,0528d4e938b9ae9638944b2d3eeed9c79e3c22cb
128,embarcadero,5,EMBARCADERO,1,"c4(numa1)",1,3,ok,0.561875,0.070670657,95979,1,1,1,/home/domin/Embarcadero-sessions/eval-matrix/data/publication/throughput/20260708_e1_leg4_order5_cxl/embarcadero_order5_rf1_n1/run_20260708T132500Z_msg128/trial_3,0528d4e938b9ae9638944b2d3eeed9c79e3c22cb
512,embarcadero,5,EMBARCADERO,1,"c4(numa1)",1,1,ok,0.777188,0.085252705,72460,1,1,1,/home/domin/Embarcadero-sessions/eval-matrix/data/publication/throughput/20260708_e1_leg4_order5_cxl/embarcadero_order5_rf1_n1/run_20260708T132500Z_msg512/trial_1,0528d4e938b9ae9638944b2d3eeed9c79e3c22cb
512,embarcadero,5,EMBARCADERO,1,"c4(numa1)",1,2,ok,0.766719,0.083636790,73961,1,1,1,/home/domin/Embarcadero-sessions/eval-matrix/data/publication/throughput/20260708_e1_leg4_order5_cxl/embarcadero_order5_rf1_n1/run_20260708T132500Z_msg512/trial_2,0528d4e938b9ae9638944b2d3eeed9c79e3c22cb
512,embarcadero,5,EMBARCADERO,1,"c4(numa1)",1,3,ok,0.753437,0.081247936,77165,1,1,1,/home/domin/Embarcadero-sessions/eval-matrix/data/publication/throughput/20260708_e1_leg4_order5_cxl/embarcadero_order5_rf1_n1/run_20260708T132500Z_msg512/trial_3,0528d4e938b9ae9638944b2d3eeed9c79e3c22cb
1024,embarcadero,5,EMBARCADERO,1,"c4(numa1)",1,1,ok,0.813281,0.101134704,62352,1,1,1,/home/domin/Embarcadero-sessions/eval-matrix/data/publication/throughput/20260708_e1_leg4_order5_cxl/embarcadero_order5_rf1_n1/run_20260708T132500Z_msg1024/trial_1,0528d4e938b9ae9638944b2d3eeed9c79e3c22cb
1024,embarcadero,5,EMBARCADERO,1,"c4(numa1)",1,2,ok,0.810859,0.092904321,66655,1,1,1,/home/domin/Embarcadero-sessions/eval-matrix/data/publication/throughput/20260708_e1_leg4_order5_cxl/embarcadero_order5_rf1_n1/run_20260708T132500Z_msg1024/trial_2,0528d4e938b9ae9638944b2d3eeed9c79e3c22cb
1024,embarcadero,5,EMBARCADERO,1,"c4(numa1)",1,3,ok,0.797344,0.094570741,65455,1,1,1,/home/domin/Embarcadero-sessions/eval-matrix/data/publication/throughput/20260708_e1_leg4_order5_cxl/embarcadero_order5_rf1_n1/run_20260708T132500Z_msg1024/trial_3,0528d4e938b9ae9638944b2d3eeed9c79e3c22cb
4096,embarcadero,5,EMBARCADERO,1,"c4(numa1)",1,1,ok,0.855391,0.094597487,67355,1,1,1,/home/domin/Embarcadero-sessions/eval-matrix/data/publication/throughput/20260708_e1_leg4_order5_cxl/embarcadero_order5_rf1_n1/run_20260708T132500Z_msg4096/trial_1,0528d4e938b9ae9638944b2d3eeed9c79e3c22cb
4096,embarcadero,5,EMBARCADERO,1,"c4(numa1)",1,2,ok,0.795234,0.097204626,64053,1,1,1,/home/domin/Embarcadero-sessions/eval-matrix/data/publication/throughput/20260708_e1_leg4_order5_cxl/embarcadero_order5_rf1_n1/run_20260708T132500Z_msg4096/trial_2,0528d4e938b9ae9638944b2d3eeed9c79e3c22cb
4096,embarcadero,5,EMBARCADERO,1,"c4(numa1)",1,3,ok,0.849297,0.092442981,69458,1,1,1,/home/domin/Embarcadero-sessions/eval-matrix/data/publication/throughput/20260708_e1_leg4_order5_cxl/embarcadero_order5_rf1_n1/run_20260708T132500Z_msg4096/trial_3,0528d4e938b9ae9638944b2d3eeed9c79e3c22cb
16384,embarcadero,5,EMBARCADERO,1,"c4(numa1)",1,1,ok,0.821875,0.104026280,60049,1,1,1,/home/domin/Embarcadero-sessions/eval-matrix/data/publication/throughput/20260708_e1_leg4_order5_cxl/embarcadero_order5_rf1_n1/run_20260708T132500Z_msg16384/trial_1,0528d4e938b9ae9638944b2d3eeed9c79e3c22cb
16384,embarcadero,5,EMBARCADERO,1,"c4(numa1)",1,2,ok,0.819531,0.091559600,67656,1,1,1,/home/domin/Embarcadero-sessions/eval-matrix/data/publication/throughput/20260708_e1_leg4_order5_cxl/embarcadero_order5_rf1_n1/run_20260708T132500Z_msg16384/trial_2,0528d4e938b9ae9638944b2d3eeed9c79e3c22cb
16384,embarcadero,5,EMBARCADERO,1,"c4(numa1)",1,3,ok,0.854688,0.094741550,65555,1,1,1,/home/domin/Embarcadero-sessions/eval-matrix/data/publication/throughput/20260708_e1_leg4_order5_cxl/embarcadero_order5_rf1_n1/run_20260708T132500Z_msg16384/trial_3,0528d4e938b9ae9638944b2d3eeed9c79e3c22cb
