metric,threshold_ms,throughput_mbps,latency_column,throughput_column
append_ack_p99,1,,pub_ack_p99_us_mean,achieved_publish_goodput_mbps_mean
append_ack_p99,2,,pub_ack_p99_us_mean,achieved_publish_goodput_mbps_mean
append_ack_p99,5,9.406800,pub_ack_p99_us_mean,achieved_publish_goodput_mbps_mean
append_ack_p99,10,81.536000,pub_ack_p99_us_mean,achieved_publish_goodput_mbps_mean
append_ack_p99,20,81.536000,pub_ack_p99_us_mean,achieved_publish_goodput_mbps_mean
append_ack_p99,50,81.536000,pub_ack_p99_us_mean,achieved_publish_goodput_mbps_mean
append_ack_p99,100,81.536000,pub_ack_p99_us_mean,achieved_publish_goodput_mbps_mean
publish_to_deliver_p99,1,,publish_to_deliver_p99_us_mean,achieved_e2e_goodput_mbps_mean
publish_to_deliver_p99,2,,publish_to_deliver_p99_us_mean,achieved_e2e_goodput_mbps_mean
publish_to_deliver_p99,5,,publish_to_deliver_p99_us_mean,achieved_e2e_goodput_mbps_mean
publish_to_deliver_p99,10,,publish_to_deliver_p99_us_mean,achieved_e2e_goodput_mbps_mean
publish_to_deliver_p99,20,,publish_to_deliver_p99_us_mean,achieved_e2e_goodput_mbps_mean
publish_to_deliver_p99,50,,publish_to_deliver_p99_us_mean,achieved_e2e_goodput_mbps_mean
publish_to_deliver_p99,100,,publish_to_deliver_p99_us_mean,achieved_e2e_goodput_mbps_mean
