point_mbps,trial,offered_aggregate_gbps,broker_achieved_aggregate_gbps,sequencer_batches,sequencer_blog_bytes,sequencer_gbps,sentinel_polls,poll_rate_per_s,stale_misses
1125,1,9.0,8.96,1819004,7450640384,5.961,1063262,106326.2,1176
1125,2,9.0,8.96,1819413,7452315648,5.962,1058808,105880.8,1184
1125,3,9.0,8.96,1819061,7450873856,5.961,979078,97907.8,1264
2250,1,18.0,17.984,3644616,14928347136,11.943,914389,91438.9,8615
2250,2,18.0,17.984,3642678,14920409088,11.936,996016,99601.6,7410
2250,3,18.0,17.984,3643936,14925561856,11.940,998736,99873.6,7565
4500,1,36.0,35.968,5085201,20828983296,16.663,806800,80680.0,2216070
4500,2,36.0,35.968,6454549,26437832704,21.150,862961,86296.1,851660
4500,3,36.0,35.968,6121170,25072312320,20.058,753581,75358.1,1181990
6750,1,54.0,53.952,5518077,22602043392,18.082,746752,74675.2,5433196
6750,2,54.0,53.952,5630784,23063691264,18.451,744116,74411.6,5325402
6750,3,54.0,53.952,4743248,19428343808,15.543,796196,79619.6,6218379
9000,1,72.0,72.0,5030996,20606959616,16.486,735700,73570.0,9599171
9000,2,72.0,72.0,5050581,20687179776,16.550,844650,84465.0,9576651
9000,3,72.0,72.0,5095349,20870549504,16.696,845617,84561.7,9532681
11250,1,90.0,87.55,57116,233947136,0.187,865076,86507.6,18082863
11250,2,90.0,87.142,59806,244965376,0.196,859245,85924.5,18143346
11250,3,90.0,88.005,61663,252571648,0.202,885794,88578.8,18069213
13500,1,108.0,87.081,70032,286851072,0.229,895358,89535.8,18059031
13500,2,108.0,87.985,57139,234041344,0.187,893860,89386.0,18074384
13500,3,108.0,87.301,56732,232374272,0.186,898497,89849.7,18085895
