point_mbps,trial,offered_aggregate_gbps,broker_achieved_aggregate_gbps,sequencer_gbps,stale_misses,detect_p50_us,detect_p99_us,detect_p999_us
1125,1,9.0,8.96,5.948,1596,9.2,11.6,17.4
1125,2,9.0,8.96,5.946,1671,9.2,11.5,17.1
1125,3,9.0,8.96,5.944,1674,9.0,11.2,16.8
2250,1,18.0,17.984,11.925,6591,10.6,13.8,19.6
2250,2,18.0,17.984,11.923,5515,10.7,14.4,20.1
2250,3,18.0,17.984,11.934,6533,10.6,13.9,19.6
4500,1,36.0,35.968,23.464,129426,13.2,17.8,53.6
4500,2,36.0,35.968,23.486,126507,12.9,17.4,52.3
4500,3,36.0,35.968,23.486,120138,12.6,17.2,54.9
6750,1,54.0,53.952,33.446,729386,15.8,22.8,605.7
6750,2,54.0,53.952,33.488,720123,16.0,23.1,571.8
6750,3,54.0,53.952,33.396,742138,15.8,22.9,570.1
9000,1,72.0,72.0,42.560,1617588,21.7,67.0,3503.4
9000,2,72.0,72.0,42.715,1560960,21.8,190.1,5411.0
9000,3,72.0,72.0,42.767,1547112,21.7,197.0,5624.1
11250,1,90.0,84.454,21.218,11115560,61134.0,81902.5,83547.8
11250,2,90.0,85.137,21.190,11117262,60943.5,81629.0,83293.1
11250,3,90.0,84.317,21.142,11128131,60891.8,81432.4,82970.9
13500,1,108.0,86.241,21.006,11179051,61173.4,81232.8,82577.3
13500,2,108.0,86.307,21.190,11110422,61292.4,81473.4,82938.4
13500,3,108.0,86.025,21.141,11121307,61213.3,81286.0,82780.4
